yard_id,rake_type,rake_id,creation_date,bpc_categ,total_wagons,incoming_bpc,bpc_no,arrival_timestamp,dispatch_timestamp,exam_start_timestamp,exam_comp_timestamp,rake_event_id,ar_to_ex_st,ar_to_ex_st1,arrival_hour,arrival_day,arrival_weekday,arrival_shift,rakes_already_present,rakes_waiting_dispatch,same_type_rakes_present,rakes_already_present_before_exam_complete,time_since_last_dispatch,waited_due_to_previous_rake,time_since_creation_to_arrival,rake_density_score,arrival_date,total_exam_delay_yard_day,avg_delay_yard_day,delay_ratio_to_yard_avg,same_type_rakes_ratio,rush_factor,arrival_to_dispatch_gap,dispatch_wait_penalty_yardwise,prev_rake_arrival,prev_rake_gap_minutes
ACTL/TKD,CONTAINER,JUDW210922170602,2023-02-15,REVALID,46,50000510486,50000513224,2023-02-14 06:30:00,2023-02-15 01:15:00,2023-02-14 20:30:00,2023-02-14 22:07:00,JUDW210922170602_2023-02-15,840.0,840.0,6,2023-02-14,1,Morning,0,0,0,0,320.0,0,-1050.0,0,2023-02-14,840.0,840.0,0.9988109393579072,0.0,0,1125.0,0,2023-02-12 12:40:00,2510.0
ACTL/TKD,CONTAINER,UMB 231022084807,2023-02-15,REVALID,46,50000510153.0,50000514250,2023-02-15 20:30:00,2023-02-17 13:11:00,2023-02-16 06:15:00,2023-02-16 07:45:00,UMB 231022084807_2023-02-15,585.0,585.0,20,2023-02-15,2,Evening,0,0,0,0,1155.0,0,1230.0,0,2023-02-15,585.0,585.0,0.9982935153583616,0.0,0,2441.0,1,2023-02-14 06:30:00,2280.0
ACTL/TKD,CONTAINER,TKD090223234336,2023-02-17,REVALID,41,50000511153,50000514701,2023-02-16 12:05:00,2023-02-18 14:01:00,2023-02-17 18:30:00,2023-02-17 20:00:00,TKD090223234336_2023-02-17,1825.0,1825.0,12,2023-02-16,3,Afternoon,1,1,1,0,2090.0,0,-715.0,3,2023-02-16,1825.0,1825.0,0.9994523548740416,0.5,82,2996.0,1,2023-02-15 20:30:00,935.0
ACTL/TKD,CONTAINER,MKPP220822150336,2023-02-18,REVALID,41,50000511736,50000515542,2023-02-18 20:30:00,2023-02-20 09:52:00,2023-02-19 05:45:00,2023-02-19 07:15:00,MKPP220822150336_2023-02-18,555.0,555.0,20,2023-02-18,5,Evening,0,0,0,0,389.0,0,1230.0,0,2023-02-18,555.0,555.0,0.9982014388489208,0.0,0,2242.0,1,2023-02-16 12:05:00,3385.0
ACTL/TKD,CONTAINER,MATP150223090054,2023-02-22,REVALID,41,50000515036,50000516589,2023-02-22 01:05:00,2023-02-22 22:25:00,2023-02-22 19:15:00,2023-02-22 20:45:00,MATP150223090054_2023-02-22,1090.0,1090.0,1,2023-02-22,2,Night,0,0,0,0,2353.0,0,65.0,0,2023-02-22,1090.0,1090.0,0.999083409715857,0.0,0,1280.0,0,2023-02-18 20:30:00,4595.0
ACTL/TKD,CONTAINER,UMB 231022084807,2023-02-24,REVALID,46,50000514250.0,70000000030,2023-02-24 07:45:00,2023-02-24 21:47:00,2023-02-24 17:45:00,2023-02-24 19:15:00,UMB 231022084807_2023-02-24,600.0,600.0,7,2023-02-24,4,Morning,0,0,0,0,2000.0,0,465.0,0,2023-02-24,1470.0,735.0,0.8152173913043478,0.0,0,842.0,0,2023-02-22 01:05:00,3280.0
ACTL/TKD,CONTAINER,SMYD141122131506,2023-02-24,REVALID,46,50000510412,70000000087,2023-02-24 21:00:00,2023-02-25 20:13:00,2023-02-25 11:30:00,2023-02-25 13:00:00,SMYD141122131506_2023-02-24,870.0,870.0,21,2023-02-24,4,Evening,1,1,1,0,2795.0,0,1260.0,3,2023-02-24,1470.0,735.0,1.1820652173913044,0.5,92,1393.0,0,2023-02-24 07:45:00,795.0
ACTL/TKD,CONTAINER,CP  201220140014,2023-02-27,CC_EXAM,46,50000504456,70000000172,2023-02-26 15:10:00,2023-02-27 12:00:00,2023-02-27 00:45:00,2023-02-27 05:45:00,CP  201220140014_2023-02-27,575.0,575.0,15,2023-02-26,6,Afternoon,0,0,0,0,1137.0,0,-530.0,0,2023-02-26,575.0,575.0,0.9982638888888888,0.0,0,1250.0,0,2023-02-24 21:00:00,2530.0
ACTL/TKD,CONTAINER,UMB 080621221111,2023-02-27,REVALID,46,50000512573.0,70000000228,2023-02-27 12:25:00,2023-02-28 07:05:00,2023-02-28 02:45:00,2023-02-28 04:15:00,UMB 080621221111_2023-02-27,860.0,860.0,12,2023-02-27,0,Afternoon,0,0,0,0,25.0,0,745.0,0,2023-02-27,860.0,860.0,0.9988385598141696,0.0,0,1120.0,0,2023-02-26 15:10:00,1275.0
ACTL/TKD,CONTAINER,MATP031122102733,2023-03-01,REVALID,46,50000511658,70000000284,2023-02-28 07:20:00,2023-03-01 04:35:00,2023-03-01 01:15:00,2023-03-01 02:45:00,MATP031122102733_2023-03-01,1075.0,1075.0,7,2023-02-28,1,Morning,0,0,0,0,15.0,0,-1000.0,0,2023-02-28,1075.0,1075.0,0.9990706319702602,0.0,0,1275.0,0,2023-02-27 12:25:00,1135.0
